Latitude;Longitude;Meters;kmh
60.0938;58.6168;12184;864
60.0903;58.4882;12184;864
60.0866;58.3585;12184;861
60.0827;58.2231;12192;858
60.0788;58.0946;12192;856
60.0747;57.9596;12184;858
60.0707;57.8341;12192;859
60.0652;57.6662;12184;859
60.0609;57.5320;12184;858
60.0553;57.3639;12192;856
60.0507;57.2322;12192;856
60.0461;57.1019;12192;859
60.0414;56.9746;12192;861
60.0367;56.8507;12192;861
60.0318;56.7240;12184;863
60.0266;56.5922;12192;867
60.0215;56.4663;12184;863
60.0161;56.3392;12192;859
60.0104;56.2055;12192;861
60.0048;56.0775;12184;867
59.9992;55.9490;12184;864
59.9932;55.8187;12184;861
59.9852;55.6469;12192;859
59.9790;55.5176;12192;861
59.9726;55.3906;12184;864
59.9624;55.2273;12184;869
59.9537;55.0958;12184;867
59.9449;54.9657;12192;867
59.9361;54.8356;12192;869
59.9272;54.7060;12192;871
59.9181;54.5740;12192;874
59.9090;54.4454;12192;874
59.8994;54.3096;12192;874
59.8900;54.1793;12192;875
59.8805;54.0502;12184;875
59.8708;53.9201;12184;877
59.8588;53.7626;12192;875
59.8490;53.6346;12192;875
59.8369;53.4789;12192;875
59.8272;53.3556;12184;875
59.8163;53.2203;12184;874
59.8064;53.0958;12192;874
59.7962;52.9682;12184;875
59.7858;52.8408;12192;877
59.7754;52.7140;12184;880
59.7645;52.5833;12192;880
59.7537;52.4567;12192;882
59.7429;52.3303;12192;882
59.7315;52.1994;12192;880
59.7201;52.0695;12184;882
59.7087;51.9411;12192;884
59.6971;51.8136;12192;887
59.6740;51.5636;12184;884
59.6621;51.4365;12192;882
59.6504;51.3132;12192;877
59.6376;51.1799;12192;877
59.6259;51.0583;12192;880
59.6126;50.9248;12192;884
59.5930;50.7853;12184;892
59.5695;50.6565;12192;893
59.5467;50.5330;12192;892
59.5191;50.3850;12184;893
59.4943;50.2545;12192;892
59.4706;50.1304;12184;893
59.4471;50.0088;12184;895
59.4230;49.8844;12192;896
59.3992;49.7626;12192;896
59.3751;49.6394;12192;900
59.3508;49.5162;12192;901
59.3265;49.3936;12192;904
59.3013;49.2677;12192;909
59.2708;49.1161;12192;906
59.2462;48.9950;12192;904
59.2195;48.8642;12192;904
59.1947;48.7434;12192;901
59.1624;48.5860;12192;904
59.1324;48.4406;12192;904
59.1065;48.3164;12192;906
59.0813;48.1960;12192;904
59.0555;48.0736;12192;904
59.0298;47.9524;12184;901
59.0042;47.8324;12192;898
58.9784;47.7122;12192;900
58.9524;47.5915;12184;901
58.9262;47.4711;12192;900
58.9001;47.3509;12184;898
58.8740;47.2323;12192;900
58.8475;47.1121;12184;900
58.8210;46.9923;12192;901
58.7939;46.8709;12184;904
58.7551;46.6983;12192;904
58.7268;46.5730;12184;901
58.6880;46.4026;12192;898
58.6607;46.2839;12184;898
58.6336;46.1662;12192;898
58.6062;46.0482;12184;898
58.5791;45.9316;12184;898
58.5494;45.8019;12192;895
58.5221;45.6351;12184;882
58.5057;45.5129;12192;877
58.4888;45.3887;12192;877
58.4705;45.2546;12184;880
58.4532;45.1290;12192;877
58.4363;45.0066;12184;880
58.4106;44.8233;12192;882
58.3927;44.6966;12184;882
58.3756;44.5769;12192;880
58.3539;44.4265;12192;882
58.3357;44.3003;12192;884
58.3185;44.1826;12192;888
58.3006;44.0615;12184;892
58.2816;43.9339;12184;888
58.2639;43.8154;12192;892
58.2451;43.6906;12184;888
58.2255;43.5617;12192;887
58.2009;43.4004;12192;880
58.1811;43.2720;12184;875
58.1603;43.1390;12192;872
58.1420;43.0224;12192;872
58.1219;42.8950;12184;872
58.1036;42.7796;12192;872
58.0816;42.6423;12192;871
58.0626;42.5250;12184;869
58.0436;42.4077;12192;872
58.0242;42.2891;12184;872
58.0044;42.1690;12184;872
57.9850;42.0518;12184;874
57.9656;41.9358;12192;874
57.9363;41.7616;12192;872
57.9103;41.6088;12192;874
57.8888;41.4824;12184;874
57.8709;41.3465;12192;871
57.8650;41.2700;12192;869
57.8572;41.1480;12192;872
57.8491;41.0276;12192;872
57.8409;40.9059;12192;874
57.8325;40.7832;12192;875
57.8239;40.6590;12184;877
57.8155;40.5389;12184;882
57.8068;40.4157;12184;884
57.7980;40.2933;12184;885
57.7889;40.1688;12184;887
57.7801;40.0498;12192;892
57.7704;39.9206;12192;893
57.7611;39.7989;12184;892
57.7514;39.6711;12184;892
57.7415;39.5452;12184;888
57.7321;39.4264;12192;888
57.7214;39.2931;12192;887
57.7115;39.1710;12184;887
57.7017;39.0506;12184;888
57.6913;38.9273;12184;892
57.6808;38.8025;12192;893
57.6706;38.6819;12192;893
57.6591;38.5486;12184;895
57.6482;38.4242;12192;895
57.6375;38.3024;12192;896
57.6264;38.1788;12184;896
57.6150;38.0523;12184;898
57.6036;37.9282;12192;898
57.5900;37.7818;12192;900
57.5783;37.6574;12192;898
57.5656;37.5231;12184;901
57.5521;37.3821;12184;901
57.5397;37.2548;12192;901
57.5258;37.1136;12184;901
57.5136;36.9906;12192;900
57.5008;36.8635;12184;901
57.4855;36.7134;12184;904
57.4726;36.5874;12184;904
57.4601;36.4661;12192;904
57.4469;36.3409;12192;901
57.4337;36.2157;12192;904
57.4197;36.0857;12184;901
57.4065;35.9637;12192;904
57.3929;35.8400;12184;901
57.3794;35.7172;12192;900
57.3659;35.5948;12184;900
57.3522;35.4738;12184;900
57.3382;35.3499;12184;901
57.3242;35.2278;12192;904
57.3101;35.1054;12184;904
57.2958;34.9831;12192;904
57.2814;34.8609;12192;904
57.2668;34.7383;12192;904
57.2523;34.6171;12184;906
57.2377;34.4962;12184;906
57.2229;34.3741;12184;906
57.2077;34.2512;12184;906
57.1924;34.1283;12184;904
57.1769;34.0047;12184;904
57.1606;33.8745;12184;901
57.1429;33.7364;12184;901
57.1261;33.6053;12192;898
57.1102;33.4827;12192;896
57.0944;33.3621;12192;893
57.0786;33.2427;12184;893
57.0626;33.1224;12184;892
57.0464;33.0019;12192;892
57.0304;32.8836;12192;893
57.0143;32.7653;12184;893
56.9977;32.6442;12192;896
56.9815;32.5273;12192;898
56.9647;32.4062;12192;898
56.9473;32.2826;12192;896
56.9266;32.1366;12192;895
56.9094;32.0164;12192;896
56.8923;31.8975;12184;893
56.8746;31.7756;12192;893
56.8556;31.6460;12192;896
56.8388;31.5315;12192;896
56.8207;31.4104;12184;896
56.8036;31.2954;12184;896
56.7867;31.1682;12184;898
56.7831;31.0435;12192;904
56.7871;30.9172;12184;911
56.7912;30.7684;12192;911
56.7928;30.6465;12192;911
56.7925;30.5100;12184;909
56.7920;30.3853;12192;909
56.7913;30.2314;12192;909
56.7905;30.0930;12192;909
56.7897;29.9705;12184;909
56.7887;29.8432;12192;906
56.7876;29.7141;12192;900
56.7863;29.5771;12184;898
56.7848;29.4420;12192;896
56.7833;29.3125;12184;896
56.7816;29.1839;12184;896
56.7796;29.0521;12192;896
56.7772;28.9285;12184;896
56.7745;28.8028;12192;896
56.7717;28.6757;12192;898
56.7687;28.5506;12184;901
56.7651;28.4017;12184;906
56.7620;28.2799;12192;908
56.7588;28.1544;12184;912
56.7553;28.0286;12184;914
56.7488;27.9370;12184;904
56.7341;27.8669;12184;888
56.7077;27.7943;12192;875
56.6636;27.6864;12192;872
56.6266;27.5969;12184;872
56.5860;27.4993;12184;867
56.5451;27.4010;12192;863
56.5050;27.3051;12192;864
56.4649;27.2096;12184;864
56.4254;27.1158;12192;864
56.3813;27.0114;12192;867
56.3429;26.9207;12192;869
56.3023;26.8252;12192;869
56.2594;26.7248;12184;872
56.2203;26.6339;12184;875
56.1793;26.5386;12192;874
